Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
"28023 Boalo, El",2022,25.645951999999998,22.39615,58.28139099999999,20.769150999999997,46.30076199999999,16.499720999999997
28024 Braojos,2022,22.890229,23.864749999999997,40.693856999999994,19.027811,34.08725499999999,15.938506
28025 Brea de Tajo,2022,15.974172,14.31885,27.510025,13.147116999999998,24.247634999999995,11.588303
28026 Brunete,2022,22.570283999999997,19.458949999999998,54.219663,17.905381,43.78106399999999,14.457317999999999
28027 Buitrago del Lozoya,2022,19.063476999999995,17.25605,40.682317999999995,15.363654,33.941444,12.81878
28028 Bustarviejo,2022,21.206584,18.72465,41.652643,18.038604,33.854377,14.661873
28029 Cabanillas de la Sierra,2022,23.683273,20.927549999999997,48.17847199999999,19.523987999999996,39.434008,15.980466
"28030 Cabrera, La",2022,21.157280999999998,18.72465,45.708076999999996,16.953937999999997,37.568886,13.934916
28031 Cadalso de los Vidrios,2022,16.534337999999998,15.053149999999999,32.417246999999996,12.779967,28.065994999999997,11.064852
28032 Camarma de Esteruelas,2022,21.974452,20.19325,49.516996,17.183669,40.55643799999999,14.073383999999999
28033 Campo Real,2022,19.70022,17.990349999999996,42.249524,15.282881,35.402701,12.805143
28034 Canencia,2022,18.203297,16.1546,30.811227999999996,16.275235,26.176745999999998,13.826868999999999
28035 CarabaÃ±a,2022,16.607768,15.053149999999999,32.035410999999996,12.858641999999998,27.535200999999997,11.052264
28036 Casarrubuelos,2022,20.304444,18.72465,46.696234999999994,15.443378,37.896173999999995,12.532402999999999
28037 Cenicientos,2022,15.524150999999998,14.31885,29.691944999999997,11.93762,26.10961,10.497342999999999
28038 Cercedilla,2022,22.165369999999996,19.458949999999998,46.643785,18.320784999999997,38.134297,14.978670999999999
28039 Cervera de Buitrago,2022,21.007274,20.19325,36.478975,19.118025,30.967529,16.230127999999997
28040 Ciempozuelos,2022,18.428832,16.521749999999997,40.662386999999995,14.142617999999999,34.446013,11.980628999999999
28041 CobeÃ±a,2022,28.887362,25.333349999999996,41.656839,22.936384999999998,54.892072,17.461654
28042 Colmenar del Arroyo,2022,21.276867,18.72465,45.125882,17.123876,37.17970699999999,14.109049999999998
28043 Colmenar de Oreja,2022,17.054641999999998,15.78745,35.263183999999995,13.074736,30.397922,11.270456
28044 Colmenarejo,2022,23.434659999999997,20.19325,56.76873299999999,18.524290999999998,45.724861,14.920976
28045 Colmenar Viejo,2022,25.786517999999997,22.39615,60.572407,20.703063999999998,48.35994899999999,16.529093
28046 Collado Mediano,2022,24.233998,21.661849999999998,55.35468099999999,19.944637,44.305564,15.962633
28047 Collado Villalba,2022,20.908668,18.72465,46.40985799999999,16.630846,38.290598,13.72092
28048 Corpa,2022,18.386871999999997,17.990349999999996,37.287754,14.352418,31.636790999999995,12.177840999999999
28049 Coslada,2022,21.658702999999996,19.458949999999998,47.609914,17.129120999999998,39.65219999999999,14.266399999999999
28050 Cubas de la Sagra,2022,22.317474999999998,20.19325,54.491353999999994,16.821764,44.169194,13.634901999999999
28051 ChapinerÃ­a,2022,20.047439,17.990349999999996,43.34468,15.610168999999999,35.961817999999994,12.952003
28052 ChinchÃ³n,2022,17.802578999999998,15.78745,36.226166,14.088069999999998,30.790248,11.974334999999998
28053 Daganzo de Arriba,2022,25.777077,23.13045,62.199405999999996,20.194299,49.321881999999995,16.014034
"28054 Escorial, El",2022,24.161617,20.927549999999997,52.579026999999996,19.996038,42.256867,16.07068
